web search	11	adverse drug reaction	0.0
web search	13	aggregate (data warehouse)	0.0
web search	14	aggregate function	0.0
web search	17	algorithm design	0.0
web search	20	alpha consumer	0.0
web search	22	alvin weinberg	0.0
web search	23	analysis of algorithms	0.0
web search	25	anchor modeling	0.0
web search	26	angoss	0.0
web search	27	anomaly detection	0.0
web search	28	archie comics	0.0
web search	30	argonne national laboratory	0.0
web search	32	artificial life	0.0
web search	42	automata theory	0.0
web search	43	automated reasoning	0.0
web search	46	bayes' theorem	0.0
web search	47	berlekamp	0.0
web search	49	bill inmon	0.0
web search	50	binary independence model	0.0
web search	51	binary classification	0.0
web search	55	biomedical	0.0
web search	60	boolean operators	0.0
web search	61	bram stoker	0.0
web search	64	business intelligence tools	0.0
web search	65	buzzword	0.0
web search	66	c. j. van rijsbergen	0.0
web search	67	capps ii	0.0
web search	69	cikm conference	0.0
web search	70	crisp-dm	0.0
web search	71	calvin mooers	0.0
web search	72	cambridge university press	0.0
web search	73	cancer	0.0
web search	74	carnegie mellon university	0.0
web search	76	case western reserve university	0.0
web search	77	categorization	0.0
web search	78	category theory	0.0
web search	83	chess endgame	0.0
web search	84	churn rate	0.0
web search	86	classification of the sciences (peirce)	0.0
web search	87	cloud storage	0.0
web search	89	co-occurrence	0.0
web search	93	column-oriented dbms	0.0
web search	94	combinatorial game	0.0
web search	95	combinatorics	0.0
web search	96	communications of the acm	0.0
web search	97	comparison of olap servers	0.0
web search	99	compiler	0.0
web search	100	computability theory	0.0
web search	101	computational chemistry	0.0
web search	102	computational complexity theory	0.0
web search	103	computational geometry	0.0
web search	104	computational linguistics	0.0
web search	105	computational neuroscience	0.0
web search	106	computational physics	0.0
web search	107	computational science	0.0
web search	108	computer accessibility	0.0
web search	109	computer animation	0.0
web search	110	computer architecture	0.0
web search	111	computer data storage	0.0
web search	112	computer graphics	0.0
web search	113	computer music	0.0
web search	114	computer networking	0.0
web search	115	computer programming	0.0
web search	117	computer vision	0.0
web search	118	concurrency (computer science)	0.0
web search	119	concurrency control	0.0
web search	120	condition monitoring	0.0
web search	121	conference on information and knowledge management	0.0
web search	122	conference on knowledge discovery and data mining	0.0
web search	125	cornelis j. van rijsbergen	0.0
web search	126	cross-language information retrieval	0.0
web search	128	cross industry standard process for data mining	0.0
web search	129	cryptography	0.0
web search	131	cultural studies	0.0
web search	132	customer analytics	0.0
web search	134	cyril w. cleverdon	0.0
web search	136	dashboard (business)	0.0
web search	137	data	0.0
web search	138	data mining extensions	0.0
web search	139	data pre-processing	0.0
web search	140	data vault modeling	0.0
web search	141	data analysis	0.0
web search	142	data cleaning	0.0
web search	144	data collection	0.0
web search	145	data dictionary	0.0
web search	146	data dredging	0.0
web search	147	data extraction	0.0
web search	149	data loading	0.0
web search	150	data management	0.0
web search	151	data mart	0.0
web search	153	data mining in agriculture	0.0
web search	154	data mining in meteorology	0.0
web search	155	data modeling	0.0
web search	156	data set	0.0
web search	157	data snooping	0.0
web search	158	data structure	0.0
web search	159	data transformation	0.0
web search	160	data visualization	0.0
web search	164	database system	0.0
web search	166	decision making	0.0
web search	167	decision support system	0.0
web search	168	decision tree learning	0.0
web search	169	decision trees	0.0
web search	171	degenerate dimension	0.0
web search	173	digital object identifier	0.0
web search	174	digital obsolescence	0.0
web search	175	dimension (data warehouse)	0.0
web search	176	dimension reduction	0.0
web search	177	dimension table	0.0
web search	178	dimensional modeling	0.0
web search	180	discovery (observation)	0.0
web search	181	discovery net	0.0
web search	182	dissolved gas analysis	0.0
web search	183	distributed computing	0.0
web search	185	divergence-from-randomness model	0.0
web search	186	document retrieval	0.0
web search	187	dogpile	0.0
web search	188	don swanson	0.0
web search	189	donald b. crouch	0.0
web search	191	dots-and-boxes	0.0
web search	192	dracula	0.0
web search	193	drug discovery	0.0
web search	195	early-arriving fact	0.0
web search	196	educational data mining	0.0
web search	197	electrical power	0.0
web search	198	electronic health records	0.0
web search	200	emanuel goldberg	0.0
web search	202	environment for developing kdd-applications supported by index-structures	0.0
web search	203	eugene garfield	0.0
web search	205	european conference on machine learning and principles and practice of knowledge discovery in databases	0.0
web search	207	evolutionary computation	0.0
web search	213	exploratory data analysis	0.0
web search	214	extended boolean model	0.0
web search	215	extract, transform, load	0.0
web search	217	f. wilfrid lancaster	0.0
web search	218	fico	0.0
web search	220	fact (data warehouse)	0.0
web search	221	fact table	0.0
web search	222	factor analysis	0.0
web search	226	first amendment to the united states constitution	0.0
web search	229	formal methods	0.0
web search	230	forrester research	0.0
web search	231	functional programming	0.0
web search	232	fuzzy retrieval	0.0
web search	233	gnu project	0.0
web search	234	gartner	0.0
web search	236	generalized vector space model	0.0
web search	242	gerard salton	0.0
web search	243	gerard salton award	0.0
web search	251	google effect	0.0
web search	256	holap	0.0
web search	258	hans peter luhn	0.0
web search	259	harmonic mean	0.0
web search	260	health insurance portability and accountability act	0.0
web search	261	herman hollerith	0.0
web search	265	human%e2%80%93computer interaction	0.0
web search	267	hypertext	0.0
web search	268	ibm	0.0
web search	270	ill-posed	0.0
web search	271	image processing	0.0
web search	274	independency	0.0
web search	275	index (database)	0.0
web search	277	info.com	0.0
web search	278	informatics (academic field)	0.0
web search	279	informationweek	0.0
web search	281	information access	0.0
web search	284	information integration	0.0
web search	285	information management	0.0
web search	286	information need	0.0
web search	292	information society	0.0
web search	293	information technology	0.0
web search	294	information theory	0.0
web search	298	institutional memory	0.0
web search	299	insulator (electrical)	0.0
web search	300	intellectual freedom	0.0
web search	302	interactive visualization	0.0
web search	303	international conference on very large data bases	0.0
web search	306	interpreter (computing)	0.0
web search	307	inverted index	0.0
web search	308	iterative algorithm	0.0
web search	311	jhepwork	0.0
web search	312	jacquard loom	0.0
web search	313	java (programming language)	0.0
web search	314	java data mining	0.0
web search	315	john nunn	0.0
web search	316	john seward	0.0
web search	317	joseph marie jacquard	0.0
web search	318	jughead (computer)	0.0
web search	321	kdd conference	0.0
web search	322	knime	0.0
web search	323	kxen inc.	0.0
web search	324	karen spa�rck jones	0.0
web search	325	keypunch	0.0
web search	327	kluwer academic publishers	0.0
web search	329	knowledge organization	0.0
web search	331	lionsolver	0.0
web search	332	language model	0.0
web search	333	latent dirichlet allocation	0.0
web search	338	library and information science	0.0
web search	341	list of information retrieval libraries	0.0
web search	342	list of reporting software	0.0
web search	346	logic programming	0.0
web search	350	medlars	0.0
web search	352	ml-flex	0.0
web search	353	molap	0.0
web search	357	main page	0.0
web search	359	market basket analysis	0.0
web search	362	mathematical logic	0.0
web search	363	mathematics	0.0
web search	365	mean reciprocal rank	0.0
web search	366	measure (data warehouse)	0.0
web search	368	memory	0.0
web search	372	microarchitecture	0.0
web search	374	microsoft analysis services	0.0
web search	375	mind maps	0.0
web search	376	mining software repositories	0.0
web search	377	missing data	0.0
web search	378	modeling and simulation	0.0
web search	380	morgan kaufmann	0.0
web search	383	multidimensional expressions	0.0
web search	384	multifactor dimensionality reduction	0.0
web search	385	multilinear subspace learning	0.0
web search	386	multimedia information retrieval	0.0
web search	387	multiprocessing	0.0
web search	389	multivariate statistics	0.0
web search	391	nltk	0.0
web search	392	named-entity recognition	0.0
web search	393	national bureau of standards	0.0
web search	395	national institute of standards and technology	0.0
web search	397	natural language toolkit	0.0
web search	400	nature (journal)	0.0
web search	403	network topology	0.0
web search	404	neural networks	0.0
web search	405	nicholas j. belkin	0.0
web search	406	nicholas jardine	0.0
web search	409	numerical analysis	0.0
web search	411	olap cube	0.0
web search	412	object-oriented programming	0.0
web search	413	online algorithm	0.0
web search	420	open drive	0.0
web search	421	operating system	0.0
web search	422	operational data store	0.0
web search	423	oracle	0.0
web search	424	oracle data mining	0.0
web search	425	oracle machine	0.0
web search	426	orange (software)	0.0
web search	428	orthogonality	0.0
web search	429	oscar nierstrasz	0.0
web search	431	overfitting	0.0
web search	432	overture	0.0
web search	435	parallel computing	0.0
web search	436	parsing	0.0
web search	437	pattern	0.0
web search	441	pharmacy	0.0
web search	442	philosophy of information	0.0
web search	444	police-enforced anpr in the uk	0.0
web search	445	positive predictive value	0.0
web search	446	power transformer	0.0
web search	449	predictive model markup language	0.0
web search	451	prentice hall	0.0
web search	452	preservation (library and archival science)	0.0
web search	453	principle of least astonishment	0.0
web search	455	probabilistic relevance model	0.0
web search	457	procedural programming	0.0
web search	460	programming paradigm	0.0
web search	465	python (programming language)	0.0
web search	467	quantitative structure%e2%80%93activity relationship	0.0
web search	472	rolap	0.0
web search	474	ralph kimball	0.0
web search	476	rapidminer	0.0
web search	477	reactive business intelligence	0.0
web search	478	real-time computing	0.0
web search	479	receiver operating characteristic	0.0
web search	480	regression analysis	0.0
web search	481	relational database	0.0
web search	482	relevance	0.0
web search	485	representational state transfer	0.0
web search	487	rexer's annual data miner survey	0.0
web search	488	robert m. hayes	0.0
web search	489	robert r. korfhage	0.0
web search	490	robert tibshirani	0.0
web search	494	rocchio classification	0.0
web search	495	routing	0.0
web search	496	rule of inference	0.0
web search	497	russian federation	0.0
web search	498	sapo (company)	0.0
web search	499	sas (software)	0.0
web search	500	sas institute	0.0
web search	501	semma	0.0
web search	502	sigkdd	0.0
web search	503	sigmod	0.0
web search	504	smart information retrieval system	0.0
web search	505	spss modeler	0.0
web search	507	statistica	0.0
web search	509	science, technology and society	0.0
web search	510	scientific american magazine	0.0
web search	523	self-organizing map	0.0
web search	526	sensitivity and specificity	0.0
web search	527	sequence mining	0.0
web search	528	set theory	0.0
web search	529	sixth normal form	0.0
web search	530	slowly changing dimension	0.0
web search	534	society for industrial and applied mathematics	0.0
web search	535	software	0.0
web search	537	software development process	0.0
web search	538	software engineering	0.0
web search	539	software release life cycle	0.0
web search	540	software testing	0.0
web search	542	sorrell v. ims health, inc.	0.0
web search	543	spatial index	0.0
web search	544	spearman's rank correlation coefficient	0.0
web search	548	spreadsheets	0.0
web search	549	springer verlag	0.0
web search	551	standard boolean model	0.0
web search	552	star schema	0.0
web search	553	statcounter	0.0
web search	554	statsoft	0.0
web search	555	statistical classification	0.0
web search	556	statistical inference	0.0
web search	557	statistical model	0.0
web search	558	statistical noise	0.0
web search	559	statistics	0.0
web search	560	stellar wind (code name)	0.0
web search	561	structured data analysis (statistics)	0.0
web search	563	subspace clustering	0.0
web search	564	support vector machines	0.0
web search	566	surrogate key	0.0
web search	568	symbolic computation	0.0
web search	569	systems architecture	0.0
web search	571	tabulating machine	0.0
web search	572	telecommunication	0.0
web search	575	test set	0.0
web search	579	tf-idf	0.0
web search	580	the american statistician	0.0
web search	581	theodor nelson	0.0
web search	582	theory of forms	0.0
web search	583	theory of computation	0.0
web search	585	tony kent strix award	0.0
web search	586	topic-based vector space model	0.0
web search	588	traffic analysis	0.0
web search	589	training set	0.0
web search	590	transaction processing	0.0
web search	591	trevor hastie	0.0
web search	592	true knowledge	0.0
web search	593	type theory	0.0
web search	594	ubm plc	0.0
web search	596	us congress	0.0
web search	597	ubiquitous computing	0.0
web search	598	uncertain inference	0.0
web search	599	united states national research council	0.0
web search	600	university of calabria	0.0
web search	601	university of geneva	0.0
web search	603	uplift modelling	0.0
web search	604	uppsala monitoring centre	0.0
web search	606	user expectations	0.0
web search	609	vector space model	0.0
web search	610	veronica (computer)	0.0
web searc
